id,location,frequency,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2g5O5gEmjfgTDdupx7VMcp,church,5,3,310231,0.402,0.391,4,-8.029,1,0.0435,0.338,0.0,0.301,0.208,143.381
3QhL4eWBVv64IycG3i9XTb,church,5,64,298520,0.49,0.805,2,-4.578,1,0.0424,0.00289,3.19e-06,0.141,0.166,109.951
6BxW8Umq3QIbipmo2c7WYz,church,5,66,401760,0.427,0.612,0,-6.812,1,0.0309,0.0105,0.0,0.574,0.154,142.053
17GmwQ9Q3MTAz05OokmNNB,church,5,65,196467,0.467,0.715,0,-5.076,1,0.0348,0.0231,0.0,0.144,0.367,156.074
0W7KIc2GSB9suYQAaMZ9rF,church,5,71,206400,0.561,0.717,8,-5.72,1,0.0381,0.458,0.0,0.138,0.455,79.993
2FJYXPlTmFPAjTwPS1bMnw,church,5,63,306253,0.367,0.739,11,-7.987,1,0.0411,0.103,0.0,0.0912,0.328,175.877
787cootcZRw5Xr47Of97AN,church,5,1,255160,0.335,0.582,5,-5.09,1,0.0375,0.379,2.67e-05,0.0954,0.151,110.522
0UXlu64mDLvfzR8IXMz06J,church,5,90,185723,0.588,0.452,7,-4.75,1,0.0268,0.437,0.0,0.344,0.734,139.953
1xO7tp4J5Wj0NeKrzIpd1V,church,5,85,198529,0.704,0.482,9,-5.352,1,0.0349,0.211,0.0,0.3,0.604,102.01
2MnLkFqY9Rpg9s3Zv6ZJdK,church,5,87,197333,0.727,0.546,0,-4.572,1,0.0437,0.656,0.0,0.122,0.69,106.891
6SnO4yCCYtz2rffMpEAlro,church,5,75,176347,0.626,0.47,0,-2.984,1,0.0316,0.522,0.0,0.201,0.825,140.046
4bHsxqR3GMrXTxEPLuK5ue,education,8,85,250987,0.5,0.748,4,-9.072,1,0.0363,0.127,0.0,0.447,0.514,118.852
2374M0fQpWi3dLnB54qaLX,education,6,86,295893,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718
6VzcQuzTNTMFnJ6rBSaLH9,education,5,82,377960,0.306,0.347,2,-8.5,1,0.0334,0.172,0.00013,0.0485,0.0511,120.996
6dGnYIeXmHdcikdzNNDMm2,education,5,86,185733,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171
3JjnGLK8IxkNLvo8Lb3KOM,education,5,81,248360,0.681,0.582,6,-7.76,0,0.0313,0.22,0.0,0.119,0.221,124.038
0V5cvmTKsYmF5FmGGEAfmS,education,5,88,160853,0.303,0.187,2,-16.757,1,0.0356,0.989,0.489,0.101,0.213,132.731
5TTXEcfsYLh6fTarLaevTi,education,5,81,171356,0.752,0.494,0,-8.18,1,0.0559,0.432,0.0,0.0869,0.227,117.901
3afkJSKX0EAMsJXTZnDXXJ,education,5,87,201539,0.578,0.537,9,-8.676,1,0.0832,0.162,0.0,0.076,0.25,83.909
4a2qoYY6xINDXtUOBFbJ6d,education,5,52,477733,0.122,0.0182,2,-27.89,1,0.0383,0.967,0.834,0.0735,0.0473,77.59
4yugZvBYaoREkJKtbG08Qr,education,5,80,211578,0.575,0.67,7,-10.39,1,0.0318,0.343,4.95e-06,0.129,0.74,139.191
2EqlS6tkEnglzr7tkKAAYD,education,5,81,259947,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007
5MxNLUsfh7uzROypsoO5qe,education,5,83,266960,0.307,0.433,1,-10.057,1,0.029,0.388,9.08e-05,0.332,0.224,160.9
39shmbIHICJ2Wxnk1fPSdz,education,5,83,188987,0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375
40riOy7x9W7GXjyGp4pjAv,education,5,87,391376,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125
08mG3Y1vljYA6bvDt4Wqkj,education,5,87,255493,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386
5ihS6UUlyQAfmp48eSkxuQ,education,4,81,199493,0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375
5WtfUKzXircvW8l5aaVZWT,education,4,87,173307,0.516,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.861
3PgjBOoA5OytNGkglObpOd,education,4,71,288189,0.311,0.342,2,-8.889,1,0.032,0.432,1.93e-06,0.114,0.274,177.158
47Bg6IrMed1GPbxRgwH2aC,education,4,83,262231,0.575,0.714,6,-5.247,1,0.0596,0.395,0.0,0.115,0.32,144.982
41CgzGD7xlgnJe14R4cqkL,education,4,77,204712,0.426,0.408,3,-9.419,1,0.0524,0.771,7.88e-06,0.394,0.528,76.309
62aa4ZnQGgF8gXzzvWRJhG,education,4,70,168205,0.758,0.39,1,-9.799,1,0.0485,0.567,0.0,0.099,0.238,117.048
35mvY5S1H3J2QZyna3TFe0,education,4,89,172325,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015
1dcNEEtODRVZEevQ20Cgmy,education,4,78,210355,0.62,0.547,1,-6.772,1,0.0248,0.112,0.0,0.19,0.208,98.032
2CVChktEKBsM6v4IfdFU5k,education,4,38,171743,0.654,0.434,8,-11.163,1,0.0665,0.837,0.0,0.216,0.223,109.069
1f3yAtsJtY87CTmM8RLnxf,education,4,39,301920,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761
0pqnGHJpmpxLKifKRmU6WP,education,4,91,204347,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949
1vNn7rVQT6UtEW1NGH53fT,education,4,67,177093,0.712,0.649,1,-4.753,1,0.063,0.000652,0.0,0.0683,0.616,127.028
4KfSdst7rW39C0sfhArdrz,education,4,77,261933,0.548,0.691,4,-13.553,0,0.0369,0.015,0.106,0.144,0.667,137.145
7oK9VyNzrYvRFo7nQEYkWN,education,4,79,222587,0.356,0.924,1,-3.74,1,0.0808,0.00101,0.0,0.0953,0.232,148.017
0yc6Gst2xkRu0eMLeRMGCX,education,4,84,290617,0.37,0.467,5,-9.013,1,0.0273,0.0205,0.572,0.109,0.182,94.485
2GiJYvgVaD2HtM8GqD9EgQ,education,4,87,218107,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041
2AYEOC02WLhUiOoaig2SEH,education,4,79,209386,0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965
70C4NyhjD5OZUMzvWZ3njJ,education,4,80,339000,0.331,0.55,0,-6.483,1,0.0272,0.605,3.96e-06,0.192,0.429,177.734
7qrBYrivpvfXUPBMmqh3dA,education,4,71,136914,0.691,0.186,10,-13.672,0,0.0487,0.686,0.934,0.0762,0.548,86.383
19JzJOMs4wkuKxY8WEOMea,education,4,69,122704,0.79,0.133,8,-9.365,1,0.0915,0.875,0.808,0.111,0.422,69.997
4fFfyouye6vrX9o9z4PVMu,education,4,77,208000,0.47,0.221,5,-9.243,1,0.0371,0.693,0.0,0.104,0.264,133.714
7eJMfftS33KTjuF7lTsMCx,education,4,88,173333,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026
57RA3JGafJm5zRtKJiKPIm,education,4,84,178000,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023
1jcQ040aWKeiUGJ2IcnFtV,education,4,63,191000,0.349,0.191,0,-16.111,0,0.0463,0.992,0.936,0.132,0.0414,140.422
2m2GJpBjQNNphaCgBeoj7R,education,4,70,207640,0.324,0.0186,2,-28.248,1,0.0476,0.99,0.934,0.105,0.126,85.297
3qiyyUfYe7CRYLucrPmulD,education,4,79,300400,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292
45yEy5WJywhJ3sDI28ajTm,education,4,0,185733,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171
7b4yGtR0rujvLi5EBfKKJ2,education,4,73,211160,0.608,0.768,1,-9.911,1,0.0364,0.101,1.41e-06,0.0942,0.748,132.699
24NwBd5vZ2CK8VOQVnqdxr,education,4,77,274133,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437
2zYzyRzz6pRmhPzyfMEC8s,education,4,87,208400,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728
